thinkBack: Stock quote and option quote for SPX on 7/23/16 23:59:59,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
UNDERLYING,,,,,,,,,,,,,,,,,,,,,,,,,
Last,Net Chng,Volume,Open,High,Low,,,,,,,,,,,,,,,,,,,,
2175.03,9.86,0,2166.47,2175.11,2163.24,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
22 JUL 16  (-1)  100 (Weeklys),,,,,,,,,,,,,,,,,,,,,,,,,
,,Impl Vol,Prob.OTM,Delta,Gamma,Theta,Vega,Volume,Open.Int,Bid,Ask,Exp,Strike,Bid,Ask,Impl Vol,Prob.OTM,Delta,Gamma,Theta,Vega,Volume,Open.Int,,
,,--,0.00%,1.00,0.00,-0.05,0.00,0,1,227.80,239.90,22 JUL 16,1940,0,0.05,71.76%,99.88%,0.00,0.00,-0.03,0.00,0,"7,038",,
,,--,0.00%,1.00,0.00,-0.05,0.00,0,4,222.80,234.90,22 JUL 16,1945,0,0.05,70.28%,99.87%,0.00,0.00,-0.03,0.00,0,"4,260",,
,,--,0.00%,1.00,0.00,-0.05,0.00,0,14,217.80,229.90,22 JUL 16,1950,0,0.05,68.70%,99.87%,0.00,0.00,-0.02,0.00,0,"18,690",,
,,--,0.00%,1.00,0.00,-0.05,0.00,0,0,212.80,224.90,22 JUL 16,1955,0,0.05,67.19%,99.87%,0.00,0.00,-0.02,0.00,10,"3,057",,
,,--,0.00%,1.00,0.00,-0.05,0.00,0,18,207.80,219.90,22 JUL 16,1960,0,0.05,65.82%,99.87%,0.00,0.00,-0.03,0.00,0,"3,080",,
,,--,0.00%,1.00,0.00,-0.05,0.00,0,20,202.80,214.90,22 JUL 16,1965,0,0.05,64.34%,99.87%,0.00,0.00,-0.03,0.00,0,"5,410",,
,,--,0.00%,1.00,0.00,-0.05,0.00,7,69,197.80,209.90,22 JUL 16,1970,0,0.05,62.86%,99.86%,0.00,0.00,-0.03,0.00,7,"2,634",,
,,--,0.00%,1.00,0.00,-0.05,0.00,0,66,192.80,204.90,22 JUL 16,1975,0,0.05,61.38%,99.86%,0.00,0.00,-0.03,0.00,8,"8,038",,
,,--,0.00%,1.00,0.00,-0.05,0.00,0,96,187.80,199.90,22 JUL 16,1980,0,0.05,59.91%,99.86%,0.00,0.00,-0.03,0.00,5,"1,779",,
,,--,0.00%,1.00,0.00,-0.05,0.00,18,62,182.80,194.90,22 JUL 16,1985,0,0.05,58.43%,99.85%,0.00,0.00,-0.03,0.00,7,563,,
,,--,0.00%,1.00,0.00,-0.05,0.00,0,111,177.80,189.90,22 JUL 16,1990,0,0.05,56.97%,99.85%,0.00,0.00,-0.03,0.01,12,"9,271",,
,,--,0.00%,1.00,0.00,-0.05,0.00,0,25,172.80,184.90,22 JUL 16,1995,0,0.05,55.50%,99.85%,0.00,0.00,-0.03,0.01,4,"5,518",,
,,--,0.00%,1.00,0.00,-0.05,0.00,2,723,167.80,179.90,22 JUL 16,2000,0,0.05,54.04%,99.84%,0.00,0.00,-0.03,0.01,1,"9,221",,
,,--,0.00%,1.00,0.00,-0.05,0.00,0,67,162.80,174.90,22 JUL 16,2005,0,0.05,52.59%,99.84%,0.00,0.00,-0.03,0.01,0,"1,795",,
,,--,0.00%,1.00,0.00,-0.06,0.00,1,45,157.80,169.90,22 JUL 16,2010,0,0.05,51.05%,99.84%,0.00,0.00,-0.03,0.01,0,"2,259",,
,,--,0.00%,1.00,0.00,-0.06,0.00,0,8,152.80,164.90,22 JUL 16,2015,0,0.05,49.58%,99.83%,0.00,0.00,-0.03,0.01,0,"5,390",,
,,--,0.00%,1.00,0.00,-0.06,0.00,0,216,147.80,159.90,22 JUL 16,2020,0,0.05,48.11%,99.83%,0.00,0.00,-0.03,0.01,0,"2,697",,
,,--,0.00%,1.00,0.00,-0.06,0.00,0,"1,150",142.80,154.90,22 JUL 16,2025,0,0.05,46.58%,99.83%,0.00,0.00,-0.02,0.01,5,"22,352",,
,,--,0.00%,1.00,0.00,-0.06,0.00,1,183,137.80,149.80,22 JUL 16,2030,0,0.05,45.10%,99.82%,0.00,0.00,-0.02,0.01,115,"2,163",,
,,--,0.00%,1.00,0.00,-0.06,0.00,0,142,132.80,144.80,22 JUL 16,2035,0,0.05,43.62%,99.82%,0.00,0.00,-0.02,0.01,0,"4,750",,
,,--,0.00%,1.00,0.00,-0.06,0.00,1,702,127.80,139.80,22 JUL 16,2040,0,0.05,42.15%,99.81%,0.00,0.00,-0.02,0.01,5,"3,767",,
,,--,0.00%,1.00,0.00,-0.06,0.00,0,178,122.80,134.80,22 JUL 16,2045,0,0.05,40.75%,99.80%,0.00,0.00,-0.02,0.01,"4,484","5,269",,
,,--,0.00%,1.00,0.00,-0.06,0.00,8,"1,827",117.80,129.80,22 JUL 16,2050,0,0.05,39.28%,99.80%,0.00,0.00,-0.02,0.01,1,"15,707",,
,,--,0.00%,1.00,0.00,-0.06,0.00,77,397,114.60,123.80,22 JUL 16,2055,0,0.05,37.80%,99.79%,0.00,0.00,-0.02,0.01,21,"1,401",,
,,--,0.00%,1.00,0.00,-0.06,0.00,12,363,109.60,118.80,22 JUL 16,2060,0,0.05,36.33%,99.78%,0.00,0.00,-0.02,0.01,26,"3,120",,
